"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Forged for truffles..what..<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #FallonTonight",FALSE,0,NA,2018-05-08 03:52:28,FALSE,NA,"993700134138589185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Neuro2343",0,FALSE,FALSE,NA,NA
"2","WHAT THE HECK OF RENT WAS THAT LOL #FallonTonight",FALSE,0,NA,2018-05-08 03:52:25,FALSE,NA,"993700122319081472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","camprockgirly",0,FALSE,FALSE,NA,NA
"3","RT @camprockgirly: JLO IS GOING TO BE ON THE SHOW I'M SO EXCITED!!! CAN'T WAIT!!! I LOVE THEM SO MUCH!!!! Jimmy and Jlo. @jimmyfallon @JLo…",FALSE,0,NA,2018-05-08 03:52:06,FALSE,NA,"993700039049564160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DanielsChelle55",1,TRUE,FALSE,NA,NA
"4","@camprockgirly @jimmyfallon @JLo YesYesYesYes! 
#JimmyandJlo
#FallonTonight https://t.co/t5GNkXgvdk",FALSE,0,"camprockgirly",2018-05-08 03:52:04,FALSE,"993698667898048512","993700033206935553","107249264","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DanielsChelle55",0,FALSE,FALSE,NA,NA
"5","Prefer not to answer. #ScreenGrabs #FallonTonight",FALSE,0,NA,2018-05-08 03:51:59,FALSE,NA,"993700012885463040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","joseramonmarmtz",0,FALSE,FALSE,NA,NA
"6","You can't have ANY of my alleged truffles, Google! #FallonTonight",FALSE,0,NA,2018-05-08 03:51:58,FALSE,NA,"993700005960667138",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","douchebaggette",0,FALSE,FALSE,NA,NA
"7","RT @ArianaGrande: may 1 @jimmyfallon @fallontonight <U+2661> <U+2661> <U+2661> https://t.co/XOcMz0t3e8",FALSE,0,NA,2018-05-08 03:51:54,FALSE,NA,"993699991834181632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ButeraLizbeth",17662,TRUE,FALSE,NA,NA
"8","Yaass @kirklloyd <ed><U+00A0><U+00BD><ed><U+00B8><U+0084><ed><U+00A0><U+00BD><ed><U+00B8><U+0084><ed><U+00A0><U+00BD><ed><U+00B8><U+0084> #Screengrabs #FallonTonight",FALSE,0,NA,2018-05-08 03:51:51,FALSE,NA,"993699978521477121",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Neuro2343",0,FALSE,FALSE,NA,NA
"9","I love Screengrabs <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+008A> #FallonTonight",FALSE,0,NA,2018-05-08 03:51:47,FALSE,NA,"993699961870147584",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","AnnetteReid24",0,FALSE,FALSE,NA,NA
"10","RT @subpop: <ed><U+00A0><U+00BD><ed><U+00BA><U+00A8> TV ALERT <ed><U+00A0><U+00BD><ed><U+00BA><U+00A8> Father John Misty performs TONIGHT on @FallonTonight ... Did I mention that's this very night? #FallonTonight http…",FALSE,0,NA,2018-05-08 03:51:34,FALSE,NA,"993699908745035777",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Liliave_",5,TRUE,FALSE,NA,NA
"11","@FallonTonight You mean my party plank?",FALSE,0,"FallonTonight",2018-05-08 03:51:30,FALSE,"993698205593370624","993699889358848000","19777398","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deadpirate",0,FALSE,FALSE,NA,NA
"12","#ScreenGrabs is back!!! #FallonTonight https://t.co/4dlqgjQzQS",FALSE,0,NA,2018-05-08 03:51:28,FALSE,NA,"993699883256303616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","joseramonmarmtz",0,FALSE,FALSE,NA,NA
"13","RT @ComplexMusic: Watch @officialjaden break out his moonwalk for “Icon” performance on @FallonTonight <U+2728><ed><U+00A0><U+00BD><ed><U+00B1><U+009F> https://t.co/dQ24ANUci0 https://t…",FALSE,0,NA,2018-05-08 03:50:59,FALSE,NA,"993699760744910848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnthonysInPjs",296,TRUE,FALSE,NA,NA
"14","Who looks like Jimmy this time? #Screengrabs #FallonTonight",FALSE,0,NA,2018-05-08 03:50:44,FALSE,NA,"993699697465344002",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","douchebaggette",0,FALSE,FALSE,NA,NA
